section,hscode,description,parent,level
XI,540741,"Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, unbleached or bleached",5407,6
XI,540742,"Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, dyed",5407,6
XI,540743,"Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, of yarns of different colours",5407,6
XI,540744,"Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, printed",5407,6
XI,540751,"Fabrics, woven; containing 85% or more by weight of textured polyester filaments, unbleached or bleached",5407,6
XI,540752,"Fabrics, woven; containing 85% or more by weight of textured polyester filaments, dyed",5407,6
XI,540753,"Fabrics, woven; containing 85% or more by weight of textured polyester filaments, of yarns of different colours",5407,6
XI,540754,"Fabrics, woven; containing 85% or more by weight of textured polyester filaments, printed",5407,6
XI,540761,"Fabrics, woven; containing 85% or more by weight of non-textured polyester filaments",5407,6
XI,540769,"Fabrics, woven; containing less than 85% by weight of non-textured polyester filaments",5407,6
XI,540771,"Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), unbleached or bleached",5407,6
XI,540772,"Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), dyed",5407,6
XI,540773,"Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), of yarns of different colours",5407,6
XI,540774,"Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), printed",5407,6
XI,540781,"Fabrics, woven; of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, bleached or unbleached",5407,6
XI,540782,"Fabrics, woven; of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, dyed",5407,6
XI,540783,"Fabrics, woven; of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, of yarns of different colours",5407,6
XI,540784,"Fabrics, woven; of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, printed",5407,6
XI,540791,"Fabrics, woven; of synthetic filament yarn, bleached or unbleached, n.e.c. in heading no. 5407",5407,6
XI,540792,"Fabrics, woven; of synthetic filament yarn, dyed, n.e.c. in heading 5407",5407,6
XI,540793,"Fabrics, woven; of synthetic filament yarn, of yarns of different colours, n.e.c. in heading no. 5407",5407,6
XI,540794,"Fabrics, woven; of synthetic filament yarn, printed, n.e.c. in heading no. 5407",5407,6
XI,5408,Woven fabrics of artificial filament yarn including woven fabrics obtained from materials of heading no. 5404,54,4
XI,540810,"Fabrics, woven; of viscose rayon, high tenacity, artificial filament yarn",5408,6
XI,540821,"Fabrics, woven; of artificial filament yarn, containing 85% or more by weight of artificial filament, strip or the like, bleached or unbleached",5408,6
XI,540822,"Fabrics, woven; of artificial filament yarn, containing 85% or more by weight of artificial filament, strip or the like, dyed",5408,6
XI,540823,"Fabrics, woven; containing 85% or more by weight of artificial filament, strip or the like, of yarns of different colours",5408,6
XI,540824,"Fabrics, woven; of artificial filament yarn, containing 85% or more by weight of artificial filament, strip or the like, printed",5408,6
XI,540831,"Fabrics, woven; of artificial filament yarn, of artificial monofilament, strip and the like, n.e.c. in heading no. 5408, unbleached or bleached",5408,6
XI,540832,"Fabrics, woven; of artificial filament yarn, of artificial monofilament, strip and the like, n.e.c. in heading no. 5408, dyed",5408,6
XI,540833,"Fabrics, woven; of artificial filament yarn, of artificial monofilament, strip and the like, n.e.c. in heading no. 5408, of yarns of different colours",5408,6
XI,540834,"Fabrics, woven; of artificial filament yarn, of artificial monofilament, strip and the like, n.e.c. in heading no. 5408, printed",5408,6
XI,55,Man-made staple fibres,TOTAL,2
XI,5501,Synthetic filament tow,55,4
XI,550111,"Fibres; synthetic filament tow, of nylon or other polyamides, of aramids",5501,6
XI,550119,"Fibres; synthetic filament tow, of nylon or other polyamides, of other than aramids",5501,6
XI,550120,"Fibres; synthetic filament tow, of polyesters",5501,6
XI,550130,"Fibres; synthetic filament tow, acrylic or modacrylic",5501,6
XI,550140,"Fibres; synthetic filament tow, of polypropylene",5501,6
XI,550190,"Fibres; synthetic filament tow, of synthetic materials n.e.c. in heading no. 5501",5501,6
XI,5502,Artificial filament tow,55,4
XI,550210,Fibres; artificial filament tow of cellulose acetate,5502,6
XI,550290,"Fibres; artificial filament tow, other than cellulose acetate",5502,6
XI,5503,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning",55,4
XI,550311,"Fibres; synthetic staple fibres, of aramids, not carded, combed or otherwise processed for spinning",5503,6
XI,550319,"Fibres; synthetic staple fibres, of nylon or other polyamides other than aramids, not carded, combed or otherwise processed for spinning",5503,6
XI,550320,"Fibres; synthetic staple fibres, of polyesters, not carded, combed or otherwise processed for spinning",5503,6
XI,550330,"Fibres; synthetic staple fibres, acrylic or modacrylic, not carded, combed or otherwise processed for spinning",5503,6
XI,550340,"Fibres; synthetic staple fibres, of polypropylene, not carded, combed or otherwise processed for spinning",5503,6
XI,550390,"Fibres; synthetic staple fibres, of synthetic materials n.e.c. in heading no. 5503, not carded, combed or otherwise processed for spinning",5503,6
XI,5504,"Artificial staple fibres, not carded, combed or otherwise processed for spinning",55,4
XI,550410,"Fibres; artificial staple fibres, of viscose, not carded, combed or otherwise processed for spinning",5504,6
XI,550490,"Fibres; artificial staple fibres, other than of viscose, not carded, combed or otherwise processed for spinning",5504,6
XI,5505,"Waste (including noils, yarn waste and garnetted stock), of man-made fibres",55,4
XI,550510,"Fibres; waste (including noils, yarn waste and garnetted stock), of synthetic fibres",5505,6
XI,550520,"Fibres; waste (including noils, yarn waste and garnetted stock), of artificial fibres",5505,6
XI,5506,"Synthetic staple fibres, carded, combed or otherwise processed for spinning",55,4
XI,550610,"Fibres; synthetic staple fibres, of nylon or other polyamides, carded, combed or otherwise processed for spinning",5506,6
XI,550620,"Fibres; synthetic staple fibres, of polyesters, carded, combed or otherwise processed for spinning",5506,6
XI,550630,"Fibres; synthetic staple fibres, acrylic or modacrylic, carded, combed or otherwise processed for spinning",5506,6
XI,550640,"Fibres; synthetic staple fibres, of polypropylene, carded, combed or otherwise processed for spinning",5506,6
XI,550690,"Fibres; synthetic staple fibres, n.e.c. in heading no. 5506, carded, combed or otherwise processed for spinning",5506,6
XI,5507,"Artificial staple fibres, carded, combed or otherwise processed for spinning",55,4
XI,550700,"Fibres; artificial staple fibres, carded, combed or otherwise processed for spinning",5507,6
XI,5508,"Sewing thread of man-made staple fibres, whether or not put up for retail sale",55,4
XI,550810,"Sewing thread; of synthetic staple fibres, whether or not put up for retail sale",5508,6
XI,550820,"Sewing thread; of artificial staple fibres, whether or not put up for retail sale",5508,6
XI,5509,"Yarn (other than sewing thread) of synthetic staple fibres, not put up for retail sale",55,4
XI,550911,"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of nylon or other polyamides, not put up for retail sale",5509,6
XI,550912,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, of synthetic staple fibres, containing 85% or more by weight of nylon or other polyamides, not put up for retail sale",5509,6
XI,550921,"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of polyester, not put up for retail sale",5509,6
XI,550922,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, of synthetic staple fibres, containing 85% or more by weight of polyester, not put up for retail sale",5509,6
XI,550931,"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale",5509,6
XI,550932,"Yarn; (not sewing thread), multiple (folded) or cabled, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale",5509,6
XI,550941,"Yarn; (not sewing thread), single, containing 85% or more by weight of synthetic staple fibres, n.e.c. in heading no. 5509, not put up for retail sale",5509,6
XI,550942,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, containing 85% or more by weight of synthetic staple fibres, n.e.c. in heading no. 5509, not put up for retail sale",5509,6
XI,550951,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with artificial staple fibres, not put up for retail sale",5509,6
XI,550952,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",5509,6
XI,550953,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with cotton, not put up for retail sale",5509,6
XI,550959,"Yarn; (not sewing thread), of polyester staple fibres, mixed mainly or solely with fibres n.e.c. in item no. 5509.5, not put up for retail sale",5509,6
XI,550961,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",5509,6
XI,550962,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with cotton, not put up for retail sale",5509,6
XI,550969,"Yarn; (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with fibres n.e.c. in item no. 5509.6, not put up for retail sale",5509,6
XI,550991,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with wool or fine animal hair, n.e.c. in heading no. 5509, not put up for retail sale",5509,6
XI,550992,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with cotton, n.e.c. in heading no. 5509, not put up for retail sale",5509,6
XI,550999,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), n.e.c. in heading no. 5509, not put up for retail sale",5509,6
XI,5510,"Yarn (other than sewing thread) of artificial staple fibres, not put up for retail sale",55,4
XI,551011,"Yarn; (not sewing thread), single, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale",5510,6
XI,551012,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, of artificial staple fibres, containing 85% or more by weight of artificial staple fibres, not put up for retail sale",5510,6
XI,551020,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale",5510,6
XI,551030,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with cotton, not put up for retail sale",5510,6
XI,551090,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), not put up for retail sale",5510,6
XI,5511,"Yarn (not sewing thread), of man-made staple fibres, put up for retail sale",55,4
XI,551110,"Yarn; (not sewing thread), of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres, put up for retail sale",5511,6
XI,551120,"Yarn; (not sewing thread), of synthetic staple fibres, containing less than 85% by weight of synthetic staple fibres, put up for retail sale",5511,6
XI,551130,"Yarn; (not sewing thread), of artificial staple fibres, put up for retail sale",5511,6
XI,5512,"Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres",55,4
XI,551211,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, unbleached or bleached",5512,6
XI,551219,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, other than unbleached or bleached",5512,6
XI,551221,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, unbleached or bleached",5512,6
XI,551229,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, other than unbleached or bleached",5512,6
XI,551291,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, unbleached or bleached",5512,6
XI,551299,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, other than unbleached or bleached",5512,6
XI,5513,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2",55,4
XI,551311,"Fabrics, woven; plain weave, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2, unbleached or bleached",5513,6
XI,551312,"Fabrics, woven; 3-thread or 4-thread twill, of polyester staple fibres, containing less than 85% by weight of such, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",5513,6
XI,551313,"Fabrics, woven; of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",5513,6
XI,551319,"Fabrics, woven; containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",5513,6
XI,551321,"Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",5513,6
XI,551323,"Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",5513,6
XI,551329,"Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2",5513,6
XI,551331,"Fabrics, woven; plain weave, of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",5513,6
XI,551339,"Fabrics, woven; of yarns of different colours, containing less than 85% of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2",5513,6
XI,551341,"Fabrics, woven; plain weave, printed, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",5513,6
XI,551349,"Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2",5513,6
XI,5514,"Woven fabrics of synthetic staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight exceeding 170g/m2",55,4
XI,551411,"Fabrics, woven; plain weave, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551412,"Fabrics, woven; 3- or 4-thread twill, including cross twill, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, over 170g/m2",5514,6
XI,551419,"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of synthetic staple fibres n.e.c. in item no. 55.14.1, mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551421,"Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551422,"Fabrics, woven; 3- or 4-thread twill, including cross twill, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551423,"Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2, n.e.c. in heading no. 5514",5514,6
XI,551429,"Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551430,"Fabrics, woven; of yarns of different colours, containing less than 85% by weight of synthetic staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551441,"Fabrics, woven; plain weave, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551442,"Fabrics, woven; 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,551443,"Fabrics, woven; printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, weight exceeding 170g/m2, n.e.c. in heading no. 5514",5514,6
XI,551449,"Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2",5514,6
XI,5515,"Woven fabrics of synthetic staple fibres, n.e.c. in chapter 55",55,4
XI,551511,"Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with viscose rayon staple fibres",5515,6
XI,551512,"Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with man-made filaments",5515,6
XI,551513,"Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with wool or fine animal hair",5515,6
XI,551519,"Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with fibres n.e.c. in item no. 5515.1",5515,6
XI,551521,"Fabrics, woven; of acrylic or modacrylic staple fibres n.e.c. in chapter 55, mixed mainly or solely with man-made filaments",5515,6
XI,551522,"Fabrics, woven; of acrylic or modacrylic staple fibres n.e.c. in chapter 55, mixed mainly or solely with wool or fine animal hair",5515,6
XI,551529,"Fabrics, woven; of acrylic or modacrylic staple fibres n.e.c. in chapter 55, mixed mainly or solely with fibres n.e.c. in item no. 5515.2",5515,6
XI,551591,"Fabrics, woven; of synthetic staple fibres n.e.c. in chapter 55, mixed mainly or solely with man-made filaments",5515,6
XI,551599,"Fabrics, woven; of synthetic staple fibres n.e.c. in chapter 55, mixed mainly or solely with fibres n.e.c. in heading no. 5515",5515,6
XI,5516,Woven fabrics of artificial staple fibres,55,4
XI,551611,"Fabrics, woven; unbleached or bleached, containing 85% or more by weight of artificial staple fibres",5516,6
XI,551612,"Fabrics, woven; dyed, containing 85% or more by weight of artificial staple fibres",5516,6
XI,551613,"Fabrics, woven; of yarns of different colours, containing 85% or more by weight of artificial staple fibres",5516,6
XI,551614,"Fabrics, woven; printed, containing 85% or more by weight of artificial staple fibres",5516,6
XI,551621,"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with manmade filaments",5516,6
XI,551622,"Fabrics, woven; dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with man-made filaments",5516,6
XI,551623,"Fabrics, woven; of yarns of different colours, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with man-made filaments",5516,6
XI,551624,"Fabrics, woven; printed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with man-made filaments",5516,6
XI,551631,"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair",5516,6
XI,551632,"Fabrics, woven; dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair",5516,6
XI,551633,"Fabrics, woven; of yarns of different colours, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair",5516,6
XI,551634,"Fabrics, woven; printed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair",5516,6
XI,551641,"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",5516,6
XI,551642,"Fabrics, woven; dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",5516,6
XI,551643,"Fabrics, woven; of yarns of different colours, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",5516,6
XI,551644,"Fabrics, woven; printed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",5516,6
XI,551691,"Fabrics, woven; unbleached or bleached, of artificial staple fibres, n.e.c. in heading no. 5516",5516,6
XI,551692,"Fabrics, woven; dyed, of artificial staple fibres, n.e.c. in heading no. 5516",5516,6
XI,551693,"Fabrics, woven; of yarns of different colours, of artificial staple fibres, n.e.c. in heading no. 5516",5516,6
XI,551694,"Fabrics, woven; printed, of artificial staple fibres, n.e.c. in heading no. 5516",5516,6
XI,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",TOTAL,2
XI,5601,"Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps",56,4
XI,560121,"Wadding; other articles thereof, of cotton",5601,6
XI,560122,"Wadding; other articles thereof, of man-made fibres",5601,6
XI,560129,"Wadding; other articles thereof, other than of cotton or man-made fibres",5601,6
XI,560130,Wadding; textile flock and dust and mill neps,5601,6
XI,5602,"Felt; whether or not impregnated, coated, covered or laminated",56,4
XI,560210,"Felt; needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered or laminated",5602,6
XI,560221,"Felt; of wool or fine animal hair (excluding needleloom felt or stitch-bonded fibre fabrics), not impregnated, coated, covered nor laminated",5602,6
XI,560229,"Felt; of textile materials other than wool or fine animal hair (excluding needleloom felt and stitch-bonded fibre fabrics), not impregnated, coated, covered or laminated",5602,6
XI,560290,"Felt; impregnated, coated, covered or laminated (excluding needleloom felt and stitch-bonded fibre fabrics)",5602,6
XI,5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",56,4
XI,560311,"Nonwovens; whether or not impregnated, coated, covered or laminated, of man-made filaments, (weighing not more than 25g/m2)",5603,6
XI,560312,"Nonwovens; whether or not impregnated, coated, covered or laminated, of man-made filaments, (weighing more than 25g/m2 but not more than 70g/m2)",5603,6
XI,560313,"Nonwovens; whether or not impregnated, coated, covered or laminated, of man-made filaments, (weighing more than 70g/m2 but not more than 150g/m2)",5603,6
XI,560314,"Nonwovens; whether or not impregnated, coated, covered or laminated, of man-made filaments, (weighing more than 150g/m2)",5603,6
XI,560391,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing not more than 25g/m2)",5603,6
XI,560392,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 25g/m2 but not more than 70g/m2)",5603,6
XI,560393,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 70g/m2 but not more than 150g/m2)",5603,6
XI,560394,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 150g/m2)",5603,6
XI,5604,"Rubber thread and cord, textile covered; textile yarn and strip and the like of heading no. 5404, 5405; impregnated, coated, covered or sheathed with rubber or plastics",56,4
XI,560410,Rubber thread and cord; textile covered,5604,6
